step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_vae_loss_20ep,avg_vae_recon_20ep,avg_vae_kl_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_vae_loss,current_ep_vae_recon,current_ep_vae_kl,replay_size
35000,0.96675,17,0.0,0.17545350632554596,0.17545350632554596,0.0005345316261381787,0.0005280145166633541,0.006517120349385282,0.0,0.013258300301870878,0.013258300301870878,0.00038968591252341866,0.0003859239222947508,0.003761998610571027,35000
36000,0.9658,17,0.0,0.17545350632554596,0.17545350632554596,0.0005345316261381787,0.0005280145166633541,0.006517120349385282,0.0,0.06927007293154139,0.06927007293154139,0.0004420045006554574,0.00043849056237377226,0.0035139417741447687,36000
37000,0.96485,18,0.0,0.17193302837662178,0.17193302837662178,0.0005307640498762743,0.0005244207034896439,0.006343356359543072,0.0,0.009800617137323922,0.009800617137323922,0.0004291110672056675,0.0004256598185747862,0.0034512486308813095,37000
38000,0.9639,18,0.0,0.17193302837662178,0.17193302837662178,0.0005307640498762743,0.0005244207034896439,0.006343356359543072,0.0,0.06552028466467241,0.06552028466467241,0.00040455508860759437,0.00040116344462148845,0.003391639795154333,38000
39000,0.96295,19,0.0,0.16882135172981158,0.16882135172981158,0.0005324043633759414,0.0005262250763878814,0.006179294928810314,0.0,0.0076114541713024324,0.0076114541713024324,0.0004719946882687509,0.000468805170385167,0.0031895150896161795,39000
40000,0.962,19,0.0,0.16882135172981158,0.16882135172981158,0.0005324043633759414,0.0005262250763878814,0.006179294928810314,0.0,0.06033799626568339,0.06033799626568339,0.0004901177017018199,0.0004869644180871546,0.0031532614957541227,40000
41000,0.96105,20,0.0,0.1657943372196223,0.1657943372196223,0.0005312740453518927,0.0005252539136563428,0.006020139122847467,0.0,0.004999537176501738,0.004999537176501738,0.0004951099399477243,0.0004921476938761771,0.0029622470028698444,41000
42000,0.9601,20,0.0,0.1657943372196223,0.1657943372196223,0.0005312740453518927,0.0005252539136563428,0.006020139122847467,0.0,0.0585075166817913,0.0585075166817913,0.0004692513612098992,0.0004663257859647274,0.0029255885165184736,42000
43000,0.95915,21,0.0,0.1512490198344876,0.1512490198344876,0.000524030884844251,0.0005187753602513112,0.005255532043520361,0.0,0.0026113363738269335,0.0026113363738269335,0.00042892558849416673,0.00042606217903085053,0.0028633957263082266,43000
44000,0.9582,21,0.0,0.1512490198344876,0.1512490198344876,0.000524030884844251,0.0005187753602513112,0.005255532043520361,0.0,0.05192996983533654,0.05192996983533654,0.0004369594971649349,0.00043408438796177506,0.0028751236386597157,44000
