step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_temporal_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_temporal_intr,replay_size
26000,0.9753000000000001,12,0.0,108.4949690171125,107.19968694083035,1.295282076282095,0.0,50.399932937275885,50.384946646304606,0.014986290971282984,26000
27000,0.97435,13,0.0,105.39001054696615,104.19236621605788,1.1976443309082185,0.0,13.479828034631083,13.479828034631083,0.0,27000
28000,0.9734,13,0.0,105.39001054696615,104.19236621605788,1.1976443309082185,0.0,41.960025657348986,41.94725709057029,0.012768566778699964,28000
29000,0.97245,14,0.0,102.0569273455329,100.94281901874261,1.11410832679023,0.0,13.695271489097653,13.688823446128707,0.006448042968947626,29000
30000,0.9715,14,0.0,102.0569273455329,100.94281901874261,1.11410832679023,0.0,47.23725569223252,47.21761099500302,0.01964469722950168,30000
31000,0.97055,15,0.0,99.83982281786868,98.79754115960756,1.0422816582610637,0.0,9.948728199360602,9.920126438745804,0.028601760614799285,31000
32000,0.9696,15,0.0,99.83982281786868,98.79754115960756,1.0422816582610637,0.0,39.40631585305103,39.24417761762389,0.16213823542715014,32000
33000,0.96865,16,0.0,97.31874498869345,96.32600185965208,0.9927431290413706,0.0,12.028694693013335,12.021704379258265,0.006990313755070894,33000
34000,0.9677,16,0.0,97.31874498869345,96.32600185965208,0.9927431290413706,0.0,42.013145784017105,41.9784197005489,0.034726083468214965,34000
35000,0.96675,17,0.0,95.32083836279719,94.37893845783225,0.9418999049649306,0.0,6.3290886481475415,6.282307924700291,0.04678072344725019,35000
36000,0.9658,17,0.0,95.32083836279719,94.37893845783225,0.9418999049649306,0.0,31.828786414419707,31.653997798908343,0.17478861551135746,36000
37000,0.96485,18,0.0,93.004058322871,92.09461284321299,0.9094454796580208,0.0,7.251036759729908,7.152985316551437,0.09805144317847142,37000
38000,0.9639,18,0.0,93.004058322871,92.09461284321299,0.9094454796580208,0.0,33.13280160849737,32.766855801631145,0.36594580686621175,38000
39000,0.96295,19,0.0,90.958193463719,90.05927857555325,0.8989148881657506,0.0,6.763518105876334,6.674216415183042,0.08930169069329125,39000
